# Wavelength [nm]	Power [dBm]
1506.6440000000	-100.0000000000
1506.6460000000	-100.0000000000
1506.6480000000	-100.0000000000
1506.6500000000	-100.0000000000
1506.6520000000	-100.0000000000
1506.6540000000	-100.0000000000
1506.6560000000	-100.0000000000
1506.6580000000	-100.0000000000
1506.6600000000	-100.0000000000
1506.6620000000	-100.0000000000
1506.6640000000	-100.0000000000
1506.6660000000	-100.0000000000
1506.6680000000	-100.0000000000
1506.6700000000	-100.0000000000
1506.6720000000	-100.0000000000
1506.6740000000	-100.0000000000
1506.6760000000	-100.0000000000
1506.6780000000	-100.0000000000
1506.6800000000	-100.0000000000
1506.6820000000	-100.0000000000
1506.6840000000	-100.0000000000
1506.6860000000	-100.0000000000
1506.6880000000	-100.0000000000
1506.6900000000	-100.0000000000
1506.6920000000	-100.0000000000
1506.6940000000	-100.0000000000
1506.6960000000	-100.0000000000
1506.6980000000	-100.0000000000
