# Wavelength [nm]	Power [dBm]
1530.2720000000	-79.5594455000
1530.2740000000	-79.6320979000
1530.2760000000	-79.5983465000
1530.2780000000	-79.5480895000
1530.2800000000	-79.1984170000
1530.2820000000	-78.5868203000
1530.2840000000	-78.2679801000
1530.2860000000	-78.3224598000
1530.2880000000	-78.6475559000
1530.2900000000	-78.6961191000
1530.2920000000	-78.4573196000
1530.2940000000	-78.4514020000
1530.2960000000	-78.9149295000
1530.2980000000	-79.0662485000
1530.3000000000	-79.0524684000
1530.3020000000	-78.8917487000
1530.3040000000	-78.9384393000
1530.3060000000	-79.0976363000
1530.3080000000	-79.4990714000
1530.3100000000	-79.8660252000
1530.3120000000	-79.6833627000
1530.3140000000	-79.4403043000
1530.3160000000	-79.6783838000
1530.3180000000	-80.0411887000
1530.3200000000	-80.5212953000
1530.3220000000	-81.4617697000
1530.3240000000	-83.1276813000
1530.3260000000	-86.2292079000
1530.3280000000	-89.0096150000
1530.3300000000	-90.0431636000
1530.3320000000	-100.0000000000
1530.3340000000	-100.0000000000
1530.3360000000	-100.0000000000
1530.3380000000	-97.6719826000
1530.3400000000	-100.0000000000
1530.3420000000	-100.0000000000
1530.3440000000	-100.0000000000
1530.3460000000	-100.0000000000
1530.3480000000	-100.0000000000
1530.3500000000	-100.0000000000
1530.3520000000	-100.0000000000
1530.3540000000	-100.0000000000
1530.3560000000	-100.0000000000
1530.3580000000	-100.0000000000
1530.3600000000	-100.0000000000
1530.3620000000	-100.0000000000
1530.3640000000	-100.0000000000
1530.3660000000	-100.0000000000
1530.3680000000	-100.0000000000
1530.3700000000	-100.0000000000
1530.3720000000	-92.2269711000
1530.3740000000	-87.1537826000
1530.3760000000	-85.4483757000
1530.3780000000	-84.9691154000
1530.3800000000	-88.3435953000
1530.3820000000	-100.0000000000
1530.3840000000	-100.0000000000
1530.3860000000	-100.0000000000
1530.3880000000	-100.0000000000
1530.3900000000	-100.0000000000
1530.3920000000	-100.0000000000
1530.3940000000	-100.0000000000
1530.3960000000	-93.5467047000
1530.3980000000	-100.0000000000
1530.4000000000	-100.0000000000
1530.4020000000	-95.4757885000
1530.4040000000	-86.7044254000
1530.4060000000	-86.4990127000
1530.4080000000	-90.9714145000
1530.4100000000	-94.4718232000
1530.4120000000	-91.8600897000
1530.4140000000	-91.7749539000
1530.4160000000	-100.0000000000
1530.4180000000	-100.0000000000
1530.4200000000	-100.0000000000
1530.4220000000	-100.0000000000
1530.4240000000	-93.6826374000
1530.4260000000	-100.0000000000
1530.4280000000	-100.0000000000
1530.4300000000	-100.0000000000
1530.4320000000	-100.0000000000
1530.4340000000	-100.0000000000
1530.4360000000	-100.0000000000
1530.4380000000	-100.0000000000
1530.4400000000	-100.0000000000
1530.4420000000	-100.0000000000
1530.4440000000	-100.0000000000
1530.4460000000	-100.0000000000
1530.4480000000	-100.0000000000
1530.4500000000	-100.0000000000
1530.4520000000	-100.0000000000
1530.4540000000	-100.0000000000
1530.4560000000	-100.0000000000
1530.4580000000	-100.0000000000
1530.4600000000	-100.0000000000
1530.4620000000	-100.0000000000
1530.4640000000	-100.0000000000
1530.4660000000	-100.0000000000
1530.4680000000	-100.0000000000
1530.4700000000	-100.0000000000
1530.4720000000	-100.0000000000
1530.4740000000	-100.0000000000
1530.4760000000	-100.0000000000
1530.4780000000	-100.0000000000
1530.4800000000	-100.0000000000
1530.4820000000	-100.0000000000
1530.4840000000	-100.0000000000
1530.4860000000	-100.0000000000
1530.4880000000	-100.0000000000
1530.4900000000	-100.0000000000
1530.4920000000	-100.0000000000
1530.4940000000	-100.0000000000
1530.4960000000	-100.0000000000
1530.4980000000	-100.0000000000
1530.5000000000	-100.0000000000
1530.5020000000	-100.0000000000
1530.5040000000	-100.0000000000
1530.5060000000	-100.0000000000
1530.5080000000	-100.0000000000
1530.5100000000	-100.0000000000
1530.5120000000	-94.9269352000
1530.5140000000	-93.5735369000
1530.5160000000	-100.0000000000
1530.5180000000	-100.0000000000
1530.5200000000	-100.0000000000
1530.5220000000	-100.0000000000
1530.5240000000	-88.1331312000
1530.5260000000	-85.9803126000
1530.5280000000	-85.2915126000
1530.5300000000	-86.3132962000
1530.5320000000	-87.7808280000
1530.5340000000	-86.3073120000
1530.5360000000	-85.3943058000
1530.5380000000	-84.7602775000
1530.5400000000	-84.0493590000
1530.5420000000	-84.2217501000
1530.5440000000	-84.4287171000
1530.5460000000	-83.9857139000
1530.5480000000	-82.7636801000
1530.5500000000	-82.8281056000
1530.5520000000	-83.7484988000
1530.5540000000	-84.6956795000
1530.5560000000	-85.3336664000
1530.5580000000	-89.8743925000
1530.5600000000	-92.8794774000
1530.5620000000	-88.6790377000
1530.5640000000	-86.6061402000
1530.5660000000	-86.0337327000
1530.5680000000	-86.1938715000
1530.5700000000	-87.0293554000
1530.5720000000	-88.9907926000
1530.5740000000	-100.0000000000
1530.5760000000	-100.0000000000
1530.5780000000	-100.0000000000
1530.5800000000	-100.0000000000
1530.5820000000	-100.0000000000
1530.5840000000	-100.0000000000
1530.5860000000	-100.0000000000
1530.5880000000	-100.0000000000
1530.5900000000	-100.0000000000
1530.5920000000	-100.0000000000
1530.5940000000	-100.0000000000
